Deixarei vir a mim os pequeninos.,0
Itens nunca recebeu acento gráfico.,0
O seu futuro espelha essa grandeza.,0
Os cafajestes está esgotado há muito tempo.,0
Os imigrantes foi uma boa telenovela.,0
Os lusíadas notabilizaram Camões.,0
Os mansos continua em cartaz nos cinemas da cidade.,0
Os sertões são de Euclides da Cunha.,0
Os três mosqueteiros foram escritos por Alexandre Dumas.,0
Paixões é uma palavra dissílaba.,0
1 h,0
1 km,0
1% das crianças recebeu alimento.,0
1% das crianças recebeu alimentos.,0
1/4 das crianças recebeu alimentos.,0
10 kg,0
16 l,0
18 s,0
18h16min14s,0
2 km,0
2 m,0
2/4 das crianças ficaram sem matrícula.,0
30 t,0
40 g,0
5 m,0
57 min,0
6 kg,0
6 km,0
"8,5% das crianças nascem desnutridas.",0
A Abel matou Caim.,0
A abnegação do ilustre médico deu-lhe um grande realce.,0
A academia consagrou os trabalhos de biologia pioneiros.,0
A agravante,0
A água é o componente químico mais abundante da matéria viva.,0
A água mineral é boa para a saúde.,0
A água não havia chegado ao ponto de ebulição.,0
A ajuda de custo foi pequena.,0
A alegria é maior quando nossos amigos chegam.,0
A alface que compramos está macia.,0
A alface,0
"A alma de Joaquina, na noite de Lua, se embalava naquele pranto que queria tocar o coração de Deus.",0
A aluna chegou cedo.,0
"A aluna, até que enfim, me disse obrigada.",0
A ambição e o egoísmo se opõem a que a paz reine sobre a terra.,0
"A ameaça, o terror, a agressão, nada o deteria.",0
A América Central está localizada entre a América do Sul e a América do Norte.,0
A angústia e ansiedade não o ajudava a se concentrar.,0
A angústia e ansiedade não o ajudavam a se concentrar.,0
A areia fofa cansava-º,0
A Argentina é o país platino que possui o sistema de transportes mais eficiente.,0
A artista deu à luz gêmeos.,0
A árvore era altíssima.,0
A árvore pertence ao mundo da natureza.,0
A atenuante,0
A atriz ainda tinha a boca molhada.,0
A audácia é uma virtude.,0
"A autora da edição crítica de ""Os Sertões"" afirmou que o sertão hoje está na periferia das grandes cidades.",0
A auto-suficiência em petróleo é um dos fatores mais positivos para o desenvolvimento econômico da Argentina.,0
A Bacia Platina é a segunda rede hidrográfica da superfície terrestre.,0
A bandeira brasileira carrega um lema positivista: Ordem e Progresso.,0
"A Bandeirantes não quer investir em produção, mas quer um resultado imediato.",0
A barba do seu Lula era toda branca.,0
A baronesa era uma das pessoas que mais desconfiava de nós.,0
A baronesa era uma das pessoas que mais desconfiavam de nós.,0
A barriquinha estava atrás da porta.,0
A base de todo conhecimento é a experiência.,0
"A batalha estava ganha, o campo ficava livre.",0
A beata elevava suas preces a Maria Santíssima.,0
A bebida prejudicou o meu raciocínio.,0
A bebida prejudicou-me o raciocínio.,0
A bela ave foi abatida pelo caçador implacável.,0
A beleza de Brasília são suas estátuas invisíveis.,0
A beleza do lugar tornou agitada a vida da cidadezinha.,0
A beleza ou a verdade sempre o emocionavam.,0
A boa notícia é: você está apto à pesquisa!,0
A boa senhora suspirou resignadamente.,0
A boa vida é esta: o sossego normal deste meu quarto.,0
A bola foi chutada por Pedro.,0
A Bolívia tem a parte sul de seu território banhada pelo rio Paraguai.,0
A borboleta pousou-me na testa.,0
A Botânica ocupa-se das plantas e a Zoologia dos animais.,0
A cachorra Baleia corria na frente.,0
A cada porta estava um porteiro com dois ajudantes.,0
A cada porta estavam um porteiro com dois ajudantes.,0
A cadeira tinha o encosto regulável.,0
A cal,0
A cama são umas palhas.,0
A cana-de-açúcar é cultura tradicional do Paraguai e cultivada nas áreas central e sul do país.,0
A canção está sendo regravada por Zizi Possi e Elba Ramalho em seus novos CDs.,0
A canoa estava à mercê das ondas.,0
A cantora pisou o palco sorrindo.,0
A capela ainda não havia sido benzida.,0
A caravana procedia do sertão.,0
A caravela estava à mercê das gigantescas ondas.,0
A carmelita rogava a Santa Bárbara um olhar mais sereno aos pobres.,0
A carreira à qual aspiro é almejada por muitos.,0
A carruagem rompia as estradas.,0
A carta do amigo deixou-o bastante feliz.,0
A carta está anexa ao processo.,0
A carta foi anexada ao processo.,0
A carta vai ser lida por todos.,0
"A carteira dela estava vazia, quando ela foi assaltada.",0
"A cartomante fê-lo sentar diante da mesa, e sentou-se do lado oposto.",0
A Casa Branca garante que haverá novos atentados.,0
A casa dos meus sonhos ficava longe.,0
A casa em que eu morava há vinte anos foi vendida.,0
"A casa em que se acantonara o destacamento, era o pavilhão do imperador.",0
A casa está situada na Rua Ônix.,0
A casa estava em silêncio.,0
A casa ficava no Morro de Santa Tereza.,0
A casa foi guardada pelos cães.,0
A casa foi reformada pelo arquiteto e pelo decorador.,0
A casa onde funcionava o posto de saúde é hoje ocupada por um criador de cavalos.,0
"A casa possuía um jardim, uma piscina e uma quadra maravilhosos.",0
A casa será alugada por ela.,0
"A casa, o prédio e as demais propriedades estavam vendidos.",0
"A casaca dele estava remendada, mas estava limpa.",0
A censura à obra não se deve a razões morais ou religiosas.,0
A cerração se ia dissipando.,0
A chatice da várzea imensa chamava o sono.,0
"À chegada do campeão, todos ficaram de pé.",0
A chuva me apanhou inteiramente dasapercebido de guarda-chuva.,0
"A chuva, finalmente, passou.",0
A cidade a que me referi é a mesma em cujo centro foi armado um grande circo.,0
A cidade de Fortaleza é muito visitada por turistas.,0
A cidade do rio de Janeiro é bonita.,0
A cidade em que nascera cresceu muito.,0
A cidade está às escuras.,0
A cidade esteve sitiada pelo inimigo.,0
A cidade foi sitiada pelo inimigo.,0
A cidade mais próxima fica a dois quilômetros daqui.,0
A cidade pobre estava assolada de bexiga.,0
A cidade que vamos visitar fica distante.,0
"A cidade, no fim da tarde, é mais triste.",0
"A cidade, que ficava perto do rio, foi inundada.",0
A cigana pedia dinheiro à moça.,0
"A cigana, esperta, jogou e ganhou.",0
A cinco quilômetros daqui passa uma estrada.,0
A cirurgia foi feita pelo ilustre médico.,0
A coisa foi tão inesperada que o juiz de paz olhou desconfiado para o filho.,0
"A coisa mais árdua do mundo, depois do ofício de governar, seria dizer a idade de D. Benedita.",0
A colega emprestou os lápis.,0
A colheita deste ano superou as expectativas.,0
A comédia encerrou com bastantes gargalhadas.,0
A comissão chega a Londres à tarde.,0
A comissão reservou-se o direito de não devolver os originais.,0
A compra do acervo artístico visa à criação de um museu.,0
"A comunicação, propriamente dita, é a vontade de dizer coisas aos outros e o efetivo ato de dizer.",0
A concentração é dada pela relação entre a quantidade de soluto e a quantidade de solução.,0
A concessão do privilégio foi dada a toda a família.,0
A concorrência deve determinar a redução dos nossos preços.,0
"A Conferência Internacional sobre o Meio Ambiente, à qual deverão comparecer mais de cem Chefes de Estado, será um sucesso.",0
A confiança e o crédito em mim o fez mudar de idéia.,0
A confiança nos amigos ajudou-o a superar o problema.,0
A construção da estrada foi aprovada pelo governo.,0
A contenção de gastos foi feita por nós.,0
A conversa da reunião é incógnita.,0
A cor das flores me surpreendeu.,0
A cor dos carros diferencia com o passar dos tempos.,0
A Cordilheira dos Andes estende-se como uma verdadeira muralha na América do Sul.,0
A correspondência é endereçada à madame.,0
A correspondência se tinha extraviado.,0
A correspondência tinha-se extraviado.,0
A corrida custa 5 reais.,0
A cortesia manda obedecer aos desejos da minha antiga dama.,0
A costa brasileira é extensa.,0
A costureira aproveitava todos os trapos para fazer bonecos.,0
A cozinheira frege ovos como eu gosto.,0
A cozinheira havia recheado o bolo com chocolate.,0
"A criação de gado bovino, atualmente, é a principal atividade econômica do Paraguai.",0
A criança adormeceu rapidamente.,0
A criança custa a descobrir o desaparecimento da mãe.,0
A criança distraía-se com um brinquedo.,0
A criança era observada pelos parentes.,0
A criança estava muito triste.,0
A criança ficou meio cansada.,0
A criança morre para que o homem possa viver.,0
A criança necessita de carinho.,0
"A criança sussurrava, gemia mais que chorava.",0
A criança tinha necessidade de brincadeiras.,0
A crisálida virou borboleta.,0
A crítica do deputado ao governo foi severa.,0
A decisão do tribunal foi favorável a ele.,0
A decisão está em nossas mãos.,0
A decisão fica a critério da banca examinadora.,0
A decisão fora tomada no pé da noite.,0
